subset,id_str,object_id,tile_index,RA,DEC,segmentation_area,flux_vis_1fwhm_aper,expert_score,grade,expert_total_votes
discovery_engine,102158889_2675083637653327123,2675083637653327123,102158889,267.50836371023115,65.33271238082844,355.0,1.7080389261245728,0.5035763308885226,C,8
discovery_engine,102157631_2672673082635532565,2672673082635532565,102157631,267.26730821064336,63.5532565722766,601.0,1.543500900268555,0.7538815892922396,C,10
discovery_engine,102159772_2656908462671985495,2656908462671985495,102159772,265.6908462379085,67.1985495744645,2200.0,7.477548599243164,0.6983752073636861,C,10
discovery_engine,102157954_2678629431639725549,2678629431639725549,102157954,267.86294315834544,63.972554932473166,1851.0,9.583290100097656,2.0319197060311605,A,10
discovery_engine,102159772_2657244795670716163,2657244795670716163,102159772,265.72447956578617,67.07161638988462,4388.0,6.731599807739258,2.665189077620968,A,12
discovery_engine,102160058_2684023754674529862,2684023754674529862,102160058,268.40237540723274,67.45298620006291,1085.0,1.822324514389038,1.7319197060311606,B,10
discovery_engine,102159189_2660828499662054158,2660828499662054158,102159189,266.0828499232283,66.20541585469901,1984.0,2.4931201934814453,0.8402430614499972,C,9
discovery_engine,102160612_2743600657683668805,2743600657683668805,102160612,274.3600657555939,68.36688052942732,821.0,2.5972354412078857,2.1783431460449107,A,10
discovery_engine,102158588_2733783515650048924,2733783515650048924,102158588,273.37835153151167,65.00489245038712,4842.0,7.51511812210083,1.1796518576430894,C,10
discovery_engine,102157632_2691754663635937458,2691754663635937458,102157632,269.1754663378086,63.59374584927868,447.0,1.6114741563796997,1.818618568374509,B,10
discovery_engine,102158894_2737148144656963711,2737148144656963711,102158894,273.7148144184607,65.69637118248029,2608.0,13.81723403930664,0.7030748433547356,C,10
discovery_engine,102159186_2634351421657724214,2634351421657724214,102159186,263.43514219303097,65.77242145620238,570.0,0.6395813822746277,0.6559107914287777,C,10
discovery_engine,102159192_2698553108657820483,2698553108657820483,102159192,269.85531089451314,65.78204839509542,708.0,2.5077524185180664,0.5072614281591823,C,10
discovery_engine,102159187_2644225869660088418,2644225869660088418,102159187,264.4225869701764,66.0088418868631,375.0,1.4762462377548218,0.856493797216204,C,10
discovery_engine,102159190_2677222229661197294,2677222229661197294,102159190,267.7222229282561,66.1197294286405,500.0,3.198906660079956,0.6196022501173323,C,9
discovery_engine,102158587_2712771168649302043,2712771168649302043,102158587,271.2771168643414,64.93020432362324,6516.0,13.779675483703612,0.7332204961835371,C,8
discovery_engine,102159774_2677787094671420625,2677787094671420625,102159774,267.7787094659208,67.14206253855214,502.0,4.340712070465088,1.2581050924301491,C,10
discovery_engine,102160610_2723385147683175532,2723385147683175532,102160610,272.33851473014323,68.31755322415121,2433.0,10.638962745666504,0.5504584040745895,C,9
discovery_engine,102159193_2710780471658635618,2710780471658635618,102159193,271.0780471491921,65.86356188705734,792.0,1.4709392786026,1.2921938471907055,C,10
discovery_engine,102158886_2639435536653600933,2639435536653600933,102158886,263.94355360158056,65.3600933406733,4167.0,10.11884307861328,1.9904476018845572,B,10
discovery_engine,102158272_2676284272645204151,2676284272645204151,102158272,267.62842722731733,64.52041513207705,1141.0,2.831195831298828,0.8575052713387196,C,10
discovery_engine,102158584_2680982848648375511,2680982848648375511,102158584,268.098284894203,64.83755112318488,424.0,1.5303587913513184,0.6442814828449517,C,10
discovery_engine,102159777_2726656300670115613,2726656300670115613,102159777,272.6656300090219,67.01156133176812,1000.0,3.9746038913726807,0.9319197060311606,C,10
discovery_engine,102159492_2765340214665699861,2765340214665699861,102159492,276.5340214579972,66.56998611078126,490.0,1.1083070039749146,0.6947359942212417,C,10
discovery_engine,102157952_2660909925639885503,2660909925639885503,102157952,266.09099259970026,63.988550359849626,536.0,2.2129642963409424,1.1228008884342986,C,10
discovery_engine,102160608_2699752548683244381,2699752548683244381,102160608,269.9752548604385,68.32443814857847,4122.0,9.223362922668455,0.8489826560429575,C,10
discovery_engine,102159482_2641112805667380583,2641112805667380583,102159482,264.1112805902549,66.738058374639,1072.0,2.7901599407196045,0.6104652275350532,C,10
discovery_engine,102160333_2658282631677551100,2658282631677551100,102160333,265.828263109653,67.75511001663433,1023.0,2.112982273101806,0.7223935098615325,C,9
discovery_engine,102159191_2684122335659583531,2684122335659583531,102159191,268.41223350766086,65.95835311784843,668.0,3.192989110946656,0.5467724105841765,C,10
discovery_engine,102157952_2658211530641487553,2658211530641487553,102157952,265.8211530815124,64.14875539666241,1406.0,2.295374155044556,2.815355006260986,A,10
discovery_engine,102159188_2647534241661308379,2647534241661308379,102159188,264.75342411318275,66.13083796284693,5769.0,12.134381294250488,0.5566980783014794,C,10
discovery_engine,102159192_2701240139658625250,2701240139658625250,102159192,270.1240139158444,65.86252509028083,3367.0,5.33726167678833,0.8442814828449515,C,10
discovery_engine,102158887_2650227433653831334,2650227433653831334,102158887,265.022743321699,65.38313348329434,1813.0,3.432509183883667,0.8388368219813268,C,10
discovery_engine,102160060_2709761264672499340,2709761264672499340,102160060,270.97612649690547,67.24993402982537,3798.0,10.097979545593262,0.7642820136597871,C,9
discovery_engine,102159772_2663439159667697074,2663439159667697074,102159772,266.3439159334642,66.76970747640922,369.0,1.954707384109497,1.2300187538655174,C,10
discovery_engine,102160056_2663488981675470136,2663488981675470136,102160056,266.3488981008601,67.54701363115285,6347.0,11.040780067443848,2.010174312074846,A,9
discovery_engine,102160334_2671557285678009991,2671557285678009991,102160334,267.15572850141626,67.80099916409908,682.0,4.224865436553955,0.7703103131506291,C,10
discovery_engine,102158887_2646461630654930628,2646461630654930628,102158887,264.64616303287295,65.49306284930077,3639.0,10.094295501708984,3.1212795124218915,A,20
